New Caledonia;273000;49.55685282;70.21
New Zealand;4595700;51.12928578;86.284
Nicaragua;6082032;50.70770756;58.779
Niger;19899120;49.60000744;18.732
Nigeria;182201962;49.07357254;47.776
Northern Mariana Islands;55070;49.22507466;89.237
Norway;5195921;49.62923388;80.473
Oman;4490541;33.66886083;77.641
Pakistan;188924874;48.62915563;38.758
Palau;21291;49.22507466;87.071
Panama;3929141;49.8684318;66.592
Papua New Guinea;7619321;48.98773788;13.005
Paraguay;6639123;49.25344808;59.666
Peru;31376670;50.04852969;78.609
Philippines;100699395;49.54035623;44.373
Poland;37999494;51.63734946;60.539
Portugal;10348648;52.65089587;63.468
Puerto Rico;3474182;51.92876485;93.6
Qatar;2235355;27.36191791;99.244
Romania;19832389;51.56158034;54.564
Russian Federation;144096812;53.5442083;74.008
Rwanda;11609666;52.1126103;28.811
Samoa;193228;48.43190428;19.098
San Marino;31781;51.13606121;94.19
Sao Tome and Principe;190344;50.21697558;65.092
Saudi Arabia;31540372;43.45054015;83.13
Senegal;15129273;50.89863208;43.721
Serbia;7098247;51.19580611;55.553
Seychelles;92900;49.34643572;53.887
Sierra Leone;6453184;50.51684564;39.942
Singapore;5535002;50.65732886;100
Sint Maarten (Dutch part);38817;51.13606121;100
Slovak Republic;5424050;51.52948865;53.598
Slovenia;2063768;50.43215902;49.65
Solomon Islands;583591;49.22419982;22.329
Somalia;10787104;50.23745947;39.551
South Africa;54956920;50.82206581;64.801
South Sudan;12339812;49.92442348;18.804
Spain;46418269;50.94803207;79.579
Sri Lanka;20966000;51.82592719;18.356
St. Kitts and Nevis;55572;50.36927119;32.047
St. Lucia;184999;50.9408159;18.504
St. Martin (French part);31754;51.13606121;74.79972272
St. Vincent and the Grenadines;109462;49.54230692;50.55
Sudan;40234882;49.8022164;33.806
Suriname;542975;49.89861412;66.043
Swaziland;1286970;50.5472544;21.308
Sweden;9798871;50.02961319;85.815
Switzerland;8286976;50.48160167;73.912
Syrian Arab Republic;18502413;49.37682453;57.656
Tajikistan;8481855;49.35257677;26.782
Tanzania;53470420;50.30106178;31.608
Thailand;67959359;50.7135007;50.374
Timor-Leste;1245015;49.22427654;32.77
Togo;7304578;50.59132779;39.964
Tonga;106170;49.85494961;23.712
Trinidad and Tobago;1360088;50.65870738;8.445
Tunisia;11107800;50.58374448;66.842
Turkey;78665830;50.83689831;73.397
Turkmenistan;5373502;50.85688998;50.037
Turks and Caicos Islands;34339;50.36927119;92.186
Tuvalu;9916;49.22507466;59.717
Uganda;39032383;50.02309236;16.101
Ukraine;45198200;53.6866303;69.695
United Arab Emirates;9156963;26.74147531;85.541
United Kingdom;65138232;50.70973538;82.592
United States;321418820;50.43292656;81.617
Uruguay;3431555;51.73036714;95.311
Uzbekistan;31299500;50.82725709;36.365
Vanuatu;264652;49.34668924;26.128
Venezuela, RB;31108083;50.21486538;88.99
Vietnam;91703800;50.53434384;33.593
Virgin Islands (U.S.);103574;52.36285292;95.335
West Bank and Gaza;4422143;49.3034757;75.252
Yemen, Rep.;26832215;49.48876938;34.606
Zambia;16211767;50.07547913;40.922
Zimbabwe;15602751;50.72947713;32.376
