Congo, Dem. Rep.;77266814;50.1297737;42.494;5.7546;36.31760414;3.799999507;2.1;42.1;65.8973465;88.81257629;68;80.5;91.3;104.9
Congo, Rep.;4620330;49.97933048;65.38;11.7;58.9;7.615974662;17.5;48.94;72.87705994;86.43431091;29.6;36.6;40.7;49
Costa Rica;4807850;49.96630511;76.821;98.7;99.92884842;59.76295014;42.7;48.53;97.71025085;97.58351898;7.6;9.3;8.7;10.6
Cote d'Ivoire;22701556;49.13937177;54.18;29;88.1;21;9.6;43.18;32.72970963;53.2832489;58.9;73.9;83.7;100.9
Croatia;4224404;51.76657783;58.964;100;100;69.8031;59.9;32.51;98.92350769;99.65563965;3.3;3.9;3.9;4.7
Cuba;11389562;49.76152727;77.074;95.3546;100;31.10797021;56.6;;99.76821899;99.65319824;3.5;4.4;4.9;6
Curacao;158040;53.87301769;89.331;79.7546;90.87544;51.91699952;43.0;;;;14.76941176;18.68646973;17.25122343;21.75620251
Cyprus;1165300;48.983781;66.921;100;100;71.7159;85.3;34.31;98.64279938;99.4622879;2.3;2.7;2.5;3
Czech Republic;10551219;50.86810571;72.992;100;100;81.2986;89.8;26.13;;;2.5;3.1;3;3.8
Denmark;5676002;50.36357745;87.676;100;100;96.3305;127.7;29.08;;;2.6;3.2;3.2;3.9
Djibouti;887861;49.78470729;77.343;12.9546;65.19337975;11.92243143;9.6;44.13;;;49.1;59.2;59.3;71.1
Dominica;72680;50.36927119;69.539;79.7546;98.94110299;67.6;29.8;;;;18.1;21;19.6;22.8
Dominican Republic;10528391;50.17187337;78.98;96.6546;98.57095499;51.93023274;39.0;47.07;92.96755219;91.95028687;23.1;28.1;27.7;33.8
Ecuador;16144363;50.00692192;63.742;92.3;99.50764173;48.94043379;31.4;45.38;93.59758759;95.45014954;16;20.7;19;24
Egypt, Arab Rep.;91508084;49.4684863;43.135;100;100;35.9;29.9;30.8;68.05779266;83.61366272;18.9;21.7;22.5;25.4
El Salvador;6126583;53.06941896;66.726;85.7;97.96113792;26.91507533;23.6;41.84;85.60791779;90.1024704;12.8;16;14.9;18.6
Equatorial Guinea;845060;48.74849123;39.923;43;93.1;21.31999999;111.6;;92.88651276;97.34365082;61.9;74.2;87.6;100.5
Eritrea;6536000;48.33409057;53.85723827;11.9546;100;1.083733116;3.9;;65.60877228;82.29334259;29.8;38.1;41.4;51.3
Estonia;1311998;53.1968873;67.538;100;100;88.4066;76.2;33.15;99.80470276;99.84564972;2.1;2.6;2.6;3.2
Ethiopia;99390750;50.08830198;19.472;7.5546;100;11.6;4.5;33.17;40.96794128;57.27806091;36.3;46.3;53.6;64.5
Faroe Islands;48199;51.13606121;41.962;100;100;94.2;15.6;;;;3.376412962;4.065028067;4.022382622;4.875444827
Fiji;892145;49.15322061;53.728;45.4546;71.8178806;46.32872895;25.5;42.78;;;17.3;20.7;20.3;24.3
Finland;5482013;50.77568517;84.221;100;100;92.6513;112.3;27.12;;;1.7;2.1;2.1;2.6
France;66808385;51.32931891;79.52;100;100;84.6945;108.6;33.1;;;3.2;3.9;3.9;4.8
French Polynesia;282764;48.96945863;55.88;45.4546;72.42143834;64.56020975;10.2;;;;20.32640857;24.12063347;24.33545343;28.84932794
Gabon;1725292;49.43279167;87.156;44.9;98.1;23.5;55.0;42.18;81.1102066;85.31376648;31.6;40.2;45.8;55.3
Gambia, The;1990924;50.49881362;59.632;25.6546;41.01484268;17.1198205;4.6;47.33;47.64488983;63.92987823;43.3;52.7;64.1;74.1
Georgia;3679000;52.29398282;53.641;100;100;45.15837441;26.6;40.09;99.73381805;99.78907776;9.3;11.9;10.5;13.3
Germany;81413145;50.85705908;75.301;100;100;87.5898;129.8;30.13;;;2.8;3.4;3.4;4.1
Ghana;27409893;50.25370584;54.042;40.9546;84.95149417;23.47812844;11.5;42.77;71.35002136;82.03471375;38.2;47.1;56.2;66.7
Gibraltar;32217;51.13606121;100;100;100;79.62581461;103.7;;;;3.376412962;4.065028067;4.022382622;4.875444827
Greece;10823732;51.20624482;78.007;100;100;66.835;73.0;36.68;93.65438843;97.04235077;3.3;3.9;4.3;4.9
Greenland;56114;51.13606121;86.436;100;100;67.60044348;43.0;;;;3.376412962;4.065028067;4.022382622;4.875444827
Grenada;106825;49.83945706;35.591;79.7546;100;53.81;37.1;;;;10;11.5;10.9;12.7
Guam;169885;49.28745916;94.516;45.4546;60.33491469;73.13999995;42.3;;99.80480957;99.7735672;20.32640857;24.12063347;24.33545343;28.84932794
Guatemala;16342897;51.09026264;51.571;72.1;84.83966435;27.1;21.2;48.66;73.91976929;84.71202087;21.5;27;26;32.1
Guinea;12608590;49.85770019;37.161;2.9;74.2;4.7;3.3;33.73;22.87104034;38.09075928;55.3;66.3;88.2;99
Guinea-Bissau;1844325;50.36124327;49.332;21.4546;100;3.540706917;4.0;50.66;48.13655853;71.69519806;53.7;66.3;84.6;99.9
Guyana;767085;49.74494352;28.553;75.0546;90.54185354;38.2;20.6;44.55;89.23513794;85.8438797;27.8;36;34.4;44.2
Haiti;10711067;50.54253699;58.645;15;72.3;12.19776638;4.8;60.79;57.17098999;64.38913727;47;57.3;63.1;74.6
Honduras;8075060;50.01941781;54.73;65.8;96.90478754;20.35686743;14.0;50.64;88.52593994;88.3213501;15.4;19.3;18.1;22.6
Hong Kong SAR, China;7305700;53.05091958;100;100;100;84.94835296;156.0;;;;12.72349182;15.60466772;15.4095145;18.68937864
Hungary;9844686;52.40127801;71.227;100;100;72.8347;70.7;30.55;99.36908722;99.39418793;4.9;5.7;5.4;6.4
Iceland;330823;49.90665554;94.137;100;100;98.2;127.5;26.94;;;1.4;1.7;1.8;2.2
India;1311050527;48.1676416;32.747;69.6546;98.22503591;26;16.7;35.15;62.98471832;80.93554688;38;37.8;49.2;46.3
Indonesia;257563815;49.64825358;53.742;92.9;99.1;21.97606771;30.3;39.47;93.81723785;97.05915833;19.9;25.6;23.9;30.3
Iran, Islamic Rep.;79109272;49.64534372;73.375;97.2546;100;44.08287502;47.6;37.35;83.1818924;91.14131165;12.6;14.1;14.9;16.2
Iraq;36423395;49.3814978;69.471;96.8546;100;17.22;42.2;29.5;73.83075714;85.59871674;23.8;29;28.9;34.9
Ireland;4640703;50.08820584;63.241;100;100;80.1224;178.5;32.52;;;2.7;3.3;3.3;3.9
