Afghanistan;32526562;48.43075023;26.703;5.3;27.8;23.87384987;51.47267914;62.1;70.3;87.4;94.6
Albania;2889167;50.39767955;57.407;30.8;28.96;96.76969147;98.36763763;11.2;13.7;12.5;15.3
Algeria;39666519;49.6865253;70.727;40.3;35.3;73.05513;86.13082123;20.5;23.2;24;26.8
American Samoa;55538;49.22507466;87.202;15.6;42.69;99.12478638;98.91145325;20.32640857;24.12063347;24.33545343;28.84932794
Andorra;70473;51.13606121;85.115;103.7;30.13;100;100;1.9;2.3;2.6;3.1
Angola;25021974;50.37884701;44.05;20.2;42.72;60.74480057;81.96901703;87.9;103.7;148.9;164.6
Antigua and Barbuda;91818;52.20000436;23.773;63.2;47.07;92.96755219;91.95028687;5.2;6.3;7.3;8.8
Argentina;43416755;51.06796443;91.751;55.8;42.67;98.13478088;98.04197693;10;12.2;11.3;13.7
Armenia;3017712;53.62344054;62.673;23.1;31.48;99.73046875;99.81450653;11.1;13.9;12.5;15.6
Aruba;103889;52.47331286;41.528;98.7;47.07;97.51396179;97.5358429;14.76941176;18.68646973;17.25122343;21.75620251
Australia;23781169;50.03567737;89.423;124.7;34.94;100;100;2.7;3.3;3.4;4.1
Austria;8611088;50.88912441;65.968;132.0;30.48;100;100;2.6;3.1;3.2;3.9
Azerbaijan;9651349;50.21978748;54.62;48.7;31.79;99.73451996;99.87973022;25.8;29.8;29;34.2
Bahamas, The;388019;51.04440762;82.874;63.0;47.07;92.96755219;91.95028687;9.2;10.6;11.2;12.9
Bahrain;1377237;38.0203262;88.775;127.6;45.9;93.43386078;96.94983673;5.1;5.4;5.9;6.4
Bangladesh;160995642;49.51604653;34.277;9.1;32.13;58.31364059;64.64259338;28;33.3;34.7;40.4
Barbados;284215;52.08697641;31.475;44.9;47.07;92.96755219;91.95028687;11;13;11.8;14.1
Belarus;9513000;53.52137876;76.667;48.5;27.18;99.66835022;99.78624725;2.9;3.8;3.9;5.1
Belgium;11285721;50.80089798;97.858;120.8;27.59;100;100;2.9;3.6;3.7;4.6
Belize;359287;50.15015851;43.973;23.2;53.26;83.31381989;82.22853851;12.7;15.6;14.8;18.2
Benin;10879829;50.12836139;43.95;5.6;43.44;27.28825951;49.87284088;59.2;68.9;94.6;104
Bermuda;65235;50.36927119;100;143.7;47.07;92.96755219;91.95028687;14.76941176;18.68646973;17.25122343;21.75620251
Bhutan;774830;46.27415046;38.644;22.9;38.81;55.11819077;71.14717865;24.3;30;29.5;36.2
Bolivia;10724705;49.92202583;68.512;19.1;48.4;92.87606049;97.43713379;27.3;33.8;34.7;41.9
Bosnia and Herzegovina;3810416;50.22981743;39.767;29.1;33.83;97.42954254;99.56345367;4.6;5.6;4.8;5.9
Botswana;2262485;50.03684002;57.444;43.4;60.46;89.21347046;87.22460938;31.5;37.9;39.8;47.2
Brazil;207847528;50.82898556;85.687;42.2;51.48;92.86592102;92.29193878;13.3;15.8;14.9;17.7
British Virgin Islands;30117;50.36927119;46.186;43.0;47.07;92.96755219;91.95028687;14.76941176;18.68646973;17.25122343;21.75620251
Brunei Darussalam;423188;48.47987183;77.202;214.7;42.16;95.44203186;97.79807281;7.8;9.4;9.3;11.1
Bulgaria;7177991;51.41944788;73.948;49.2;36.01;98.06880951;98.73335266;8.3;10.3;9.3;11.5
Burkina Faso;18105570;50.37894416;29.859;4.6;35.3;28.34884071;47.57350159;55.6;66;83.4;93.7
Burundi;11178921;50.58349549;12.057;2.0;33.36;82.91288757;88.19145966;48;60;75.6;87.5
Cabo Verde;520502;50.65782648;65.526;18.0;47.19;84.65950775;92.46029663;18.5;22.8;21.9;26.9
Cambodia;15577899;51.22478327;20.723;9.6;30.76;72.29683685;84.95443726;21.5;27.6;25.2;32
Cameroon;23344179;49.99916682;54.381;8.5;46.54;68.88101196;81.15286255;51.4;62.4;81.7;93.5
Canada;35851774;50.39982135;81.828;121.4;33.68;100;100;4;4.7;4.5;5.3
Cayman Islands;59967;50.36927119;100;136.7;47.07;92.96755219;91.95028687;14.76941176;18.68646973;17.25122343;21.75620251
Central African Republic;4900274;50.7085114;40.037;1.7;56.24;24.35548973;50.71271133;84;98.5;123.2;136.6
